repeatPercent,shortSV,middleSV,longSV,rmb,HMDP,readLen,depth,type
0.62,0.82,0.08,0.1,30.90234858,0.212121212,25000,50,cutesv
0.505,0.09,0.78,0.13,2.369668246,0.212121212,2000,130,cutesv
0.52,0.83,0.09,0.08,3.144654088,0.111111111,1000,70,nanosv
0.55,0.07,0.77,0.16,1.001401963,0.01010101,5000,90,sniffles
0.62,0.82,0.08,0.1,12.36093943,0.212121212,10000,10,nanosv
0.55,0.07,0.77,0.16,1.001401963,0.01010101,5000,50,pbsv
0.62,0.82,0.08,0.1,3.795066414,0.181818182,2000,10,nanosv
0.79,0.79,0.1,0.11,1,0,1000,10,nanosv
0.52,0.83,0.09,0.08,6.415739949,0.222222222,15000,30,pbsv
0.735,0.06,0.86,0.08,1,0,2000,150,pbsv
0.76,0.11,0.05,0.84,1,0,25000,10,pbsv
0.79,0.79,0.1,0.11,1,0,1000,50,picky
0.79,0.79,0.1,0.11,1,0,2000,150,pbsv
0.55,0.07,0.77,0.16,1,0,2000,110,cutesv
0.79,0.79,0.1,0.11,1,0,25000,10,pbsv
0.76,0.11,0.05,0.84,1,0,5000,110,pbsv
0.52,0.83,0.09,0.08,5.219206681,0.212121212,10000,30,cutesv
0.52,0.83,0.09,0.08,4.120879121,0.161616162,3000,90,nanosv
0.76,0.11,0.05,0.84,1,0,20000,10,pbsv
0.51,0.05,0.13,0.82,1.469939732,0.101010101,10000,150,sniffles
0.64,0.12,0.78,0.1,1.455604076,0.111111111,1000,50,nanosv
0.505,0.17,0.04,0.79,2.427184466,0.191919192,5000,150,sniffles
0.79,0.79,0.1,0.11,1,0,20000,90,pbsv
0.505,0.09,0.78,0.13,4.370629371,0.252525253,5000,50,pbsv
0.79,0.79,0.1,0.11,1,0,10000,30,pbsv
0.62,0.82,0.08,0.1,2.583979328,0.161616162,1000,70,cutesv
0.76,0.11,0.05,0.84,1,0,10000,50,pbsv
0.475,0.82,0.08,0.1,1.591343094,0.333333333,20000,130,pbsv
0.76,0.11,0.05,0.84,1,0,1000,30,picky
0.55,0.07,0.77,0.16,1.703809719,0.353535354,25000,30,pbsv
0.64,0.12,0.78,0.1,20.21018593,0.272727273,25000,70,pbsv
0.51,0.05,0.13,0.82,1.563477173,0.313131313,20000,70,sniffles
0.76,0.11,0.05,0.84,1,0,15000,150,pbsv
0.79,0.79,0.1,0.11,1,0,3000,90,pbsv
0.62,0.82,0.08,0.1,6.180469716,0.212121212,5000,110,cutesv
0.62,0.82,0.08,0.1,18.54140915,0.212121212,15000,50,pbsv
0.71,0.08,0.11,0.81,4.547521601,0.222222222,10000,110,sniffles
0.79,0.79,0.1,0.11,1,0,3000,50,cutesv
0.505,0.17,0.04,0.79,3.93597481,0.252525253,15000,110,sniffles
0.52,0.83,0.09,0.08,3.144654088,0.111111111,1000,90,cutesv
0.71,0.08,0.11,0.81,6.821282401,0.222222222,15000,110,pbsv
0.505,0.09,0.78,0.13,13.11188811,0.252525253,15000,130,pbsv
0.475,0.82,0.08,0.1,1.591343094,0.333333333,20000,30,pbsv
0.79,0.79,0.1,0.11,1,0,10000,10,pbsv
0.62,0.82,0.08,0.1,24.72187886,0.212121212,20000,130,pbsv
0.55,0.07,0.77,0.16,1.001401963,0.01010101,5000,30,pbsv
0.71,0.08,0.11,0.81,2.2737608,0.222222222,5000,50,pbsv
0.55,0.07,0.77,0.16,1.001401963,0.01010101,5000,10,nanosv
0.79,0.79,0.1,0.11,1,0,15000,150,pbsv
0.475,0.82,0.08,0.1,1.578781181,0.080808081,10000,90,pbsv
